DATE;WALCL
25/05/2016;4461111
1/06/2016;4461393
8/06/2016;4463542
15/06/2016;4472817
22/06/2016;4482009
29/06/2016;4466482
6/07/2016;4470605
13/07/2016;4472202
20/07/2016;4480973
27/07/2016;4464498
3/08/2016;4466793
10/08/2016;4468929
17/08/2016;4466476
24/08/2016;4473840
31/08/2016;4457907
7/09/2016;4459394
14/09/2016;4481635
21/09/2016;4473032
28/09/2016;4452002
5/10/2016;4459407
12/10/2016;4457698
19/10/2016;4467382
26/10/2016;4454326
2/11/2016;4453087
9/11/2016;4455087
16/11/2016;4453633
23/11/2016;4465782
30/11/2016;4446307
7/12/2016;4448618
14/12/2016;4470973
21/12/2016;4469089
28/12/2016;4451451
4/01/2017;4453101
11/01/2017;4452509
18/01/2017;4460758
25/01/2017;4452838
1/02/2017;4453881
8/02/2017;4456236
15/02/2017;4454676
22/02/2017;4468702
1/03/2017;4458018
8/03/2017;4459840
15/03/2017;4469577
22/03/2017;4478236
29/03/2017;4469618
5/04/2017;4474634
12/04/2017;4484492
19/04/2017;4479270
26/04/2017;4470142
3/05/2017;4471246
10/05/2017;4473459
17/05/2017;4467108
24/05/2017;4470852
31/05/2017;4459914
7/06/2017;4462443
14/06/2017;4476269
21/06/2017;4474257
28/06/2017;4463347
5/07/2017;4467272
12/07/2017;4466702
19/07/2017;4476903
26/07/2017;4465284
2/08/2017;4466846
9/08/2017;4469083
16/08/2017;4462871
23/08/2017;4463837
30/08/2017;4452360
6/09/2017;4453474
13/09/2017;4471174
20/09/2017;4458576
27/09/2017;4455661
4/10/2017;4460422
11/10/2017;4459415
18/10/2017;4469723
25/10/2017;4461117
1/11/2017;4455887
8/11/2017;4458552
15/11/2017;4448289
22/11/2017;4450615
29/11/2017;4438592
6/12/2017;4437148
13/12/2017;4452726
20/12/2017;4447470
27/12/2017;4448680
3/01/2018;4443718
10/01/2018;4446062
17/01/2018;4439145
24/01/2018;4441317
31/01/2018;4419225
7/02/2018;4420745
14/02/2018;4434863
21/02/2018;4411660
28/02/2018;4393401
7/03/2018;4396097
14/03/2018;4407258
21/03/2018;4401222
28/03/2018;4392198
4/04/2018;4386104
11/04/2018;4383684
18/04/2018;4385903
25/04/2018;4372886
2/05/2018;4356129
9/05/2018;4358207
16/05/2018;4337609
23/05/2018;4337301
30/05/2018;4327519
6/06/2018;4319191
13/06/2018;4324906
20/06/2018;4315896
27/06/2018;4305491.0
4/07/2018;4289764.0
11/07/2018;4291201.0
18/07/2018;4291615.0
25/07/2018;4277681.0
1/08/2018;4255653.0
8/08/2018;4258030.0
15/08/2018;4228924.0
22/08/2018;4228818.0
29/08/2018;4218914.0
5/09/2018;4208496.0
12/09/2018;4210812.0
19/09/2018;4208059.0
26/09/2018;4192909.0
3/10/2018;4174704.0
10/10/2018;4176906.0
17/10/2018;4175446.0
24/10/2018;4173070.0
31/10/2018;4139731.0
7/11/2018;4141936.0
14/11/2018;4145892.0
21/11/2018;4106198.0
28/11/2018;4097170.0
5/12/2018;4086044.0
12/12/2018;4088314.0
19/12/2018;4084274.0
26/12/2018;4075636.0
2/01/2019;4058378.0
9/01/2019;4056563.0
16/01/2019;4050044.0
23/01/2019;4047052.0
30/01/2019;4039678.0
6/02/2019;4026350.0
13/02/2019;4028431.0
20/02/2019;3981420.0
27/02/2019;3974590.0
6/03/2019;3969134.0
13/03/2019;3971559.0
20/03/2019;3962748.0
27/03/2019;3955617.0
3/04/2019;3935509.0
10/04/2019;3936784.0
17/04/2019;3931827.0
24/04/2019;3928273.0
1/05/2019;3889691.0
8/05/2019;3892216.0
15/05/2019;3864749.0
22/05/2019;3860435.0
29/05/2019;3851444.0
5/06/2019;3847645.0
12/06/2019;3849955.0
19/06/2019;3844016.0
26/06/2019;3826817.0
3/07/2019;3813198.0
10/07/2019;3815038.0
17/07/2019;3808110.0
24/07/2019;3803436.0
31/07/2019;3779102.0
7/08/2019;3781543.0
14/08/2019;3786018.0
21/08/2019;3764866.0
28/08/2019;3759946.0
4/09/2019;3761508.0
11/09/2019;3769673.0
18/09/2019;3844695.0
25/09/2019;3857715.0
2/10/2019;3945831.0
9/10/2019;3949955.0
16/10/2019;3966471.0
23/10/2019;3968700.0
30/10/2019;4019823.0
6/11/2019;4039443.0
13/11/2019;4047882.0
20/11/2019;4030249.0
27/11/2019;4052875.0
4/12/2019;4065696.0
11/12/2019;4095491.0
18/12/2019;4137052.0
25/12/2019;4165591.0
1/01/2020;4173626.0
8/01/2020;4149544.0
15/01/2020;4175850.0
22/01/2020;4145912.0
29/01/2020;4151630.0
5/02/2020;4166707.0
12/02/2020;4182689.0
19/02/2020;4171570.0
26/02/2020;4158637.0
4/03/2020;4241507.0
11/03/2020;4311911.0
18/03/2020;4668212.0
25/03/2020;5254278.0
1/04/2020;5811607.0
8/04/2020;6083141.0
15/04/2020;6367887.0
22/04/2020;6573136.0
29/04/2020;6655929.0
6/05/2020;6721420.0
13/05/2020;6934227.0
20/05/2020;7037258.0
27/05/2020;7097316.0
3/06/2020;7165217.0
10/06/2020;7168936.0
17/06/2020;7094690.0
24/06/2020;7082302.0
1/07/2020;7009040.0
8/07/2020;6920716.0
15/07/2020;6958604.0
22/07/2020;6964755.0
29/07/2020;6949032.0
5/08/2020;6945237.0
12/08/2020;6957277.0
19/08/2020;7010637.0
26/08/2020;6990418.0
2/09/2020;7017492.0
9/09/2020;7010614.0
16/09/2020;7064475.0
23/09/2020;7093161.0
30/09/2020;7056129.0
7/10/2020;7074649.0
14/10/2020;7151426.0
21/10/2020;7177265.0
28/10/2020;7146306.0
4/11/2020;7157479.0
11/11/2020;7175417.0
18/11/2020;7243080.0
25/11/2020;7216480.0
2/12/2020;7222414.0
9/12/2020;7242658.0
16/12/2020;7362592.0
23/12/2020;7404039.0
30/12/2020;7363351.0
6/01/2021;7334809.0
13/01/2021;7333968.0
20/01/2021;7414942.0
27/01/2021;7404926.0
3/02/2021;7410598.0
10/02/2021;7442225.0
17/02/2021;7557402.0
24/02/2021;7590111.0
3/03/2021;7557524.0
10/03/2021;7579901.0
17/03/2021;7693506.0
24/03/2021;7719622.0
31/03/2021;7688988.0
7/04/2021;7708882.0
14/04/2021;7793104.0
21/04/2021;7820948.0
28/04/2021;7780962.0
5/05/2021;7810486.0
12/05/2021;7830663.0
19/05/2021;7922883.0
26/05/2021;7903541.0
2/06/2021;7935703.0
9/06/2021;7952327.0
16/06/2021;8064257.0
23/06/2021;8101945.0
30/06/2021;8078544.0
7/07/2021;8097773.0
14/07/2021;8201651.0
21/07/2021;8240530.0
28/07/2021;8221473.0
4/08/2021;8235073.0
11/08/2021;8257159.0
18/08/2021;8342598.0
25/08/2021;8332743.0
1/09/2021;8349173.0
8/09/2021;8357314.0
15/09/2021;8448770.0
22/09/2021;8489824.0
29/09/2021;8447981.0
6/10/2021;8464032.0
13/10/2021;8480942.0
20/10/2021;8564943.0
27/10/2021;8556181.0
3/11/2021;8574871.0
10/11/2021;8663117.0
17/11/2021;8674970.0
24/11/2021;8681771.0
1/12/2021;8650402.0
8/12/2021;8664524.0
15/12/2021;8756666.0
22/12/2021;8790495.0
29/12/2021;8757460.0
5/01/2022;8765721.0
12/01/2022;8788278.0
19/01/2022;8867834.0
26/01/2022;8860485.0
2/02/2022;8873211.0
9/02/2022;8878009.0
16/02/2022;8911033.0
23/02/2022;8928129.0
2/03/2022;8904455.0
9/03/2022;8910748.0
16/03/2022;8954306.0
23/03/2022;8962474.0
30/03/2022;8937142.0
6/04/2022;8937592.0
13/04/2022;8965487.0
20/04/2022;8955851.0
27/04/2022;8939199.0
4/05/2022;8939972.0
11/05/2022;8942008.0
18/05/2022;8945898.0
25/05/2022;8914281.0
1/06/2022;8915050.0
8/06/2022;8918254.0
15/06/2022;8932420.0
22/06/2022;8934346.0
29/06/2022;8913553.0
6/07/2022;8891851.0
13/07/2022;8895867.0
20/07/2022;8899213.0
27/07/2022;8890004.0
3/08/2022;8874620.0
10/08/2022;8879138.0
17/08/2022;8849762.0
24/08/2022;8851436.0
31/08/2022;8826093.0
7/09/2022;8822401.0
14/09/2022;8832759.0
21/09/2022;8816802.0
28/09/2022;8795567.0
5/10/2022;8759053.0
12/10/2022;8758969.0
19/10/2022;8743922.0
26/10/2022;8723090.0
2/11/2022;8676870.0
9/11/2022;8678886.0
16/11/2022;8625620.0
23/11/2022;8621390.0
30/11/2022;8584576.0
7/12/2022;8582735.0
14/12/2022;8583413.0
21/12/2022;8564411.0
28/12/2022;8551169.0
4/01/2023;8507429.0
11/01/2023;8508587.0
18/01/2023;8489039.0
25/01/2023;8470557.0
1/02/2023;8433610.0
8/02/2023;8435369.0
15/02/2023;8384767.0
22/02/2023;8382190.0
1/03/2023;8339684.0
8/03/2023;8342283.0
15/03/2023;8639300.0
22/03/2023;8733787.0
29/03/2023;8705942.0
5/04/2023;8632384.0
12/04/2023;8614797.0
19/04/2023;8593263.0
26/04/2023;8562768.0
3/05/2023;8503994.0
10/05/2023;8503017.0
17/05/2023;8456760.0
24/05/2023;8436255.0
31/05/2023;8385854.0
7/06/2023;8389325.0
14/06/2023;8388323.0
21/06/2023;8362060.0
28/06/2023;8340914.0
5/07/2023;8298312.0
12/07/2023;8296923.0
19/07/2023;8274552.0
26/07/2023;8243344.0
2/08/2023;8206764.0
9/08/2023;8208241.0
16/08/2023;8145727.0
23/08/2023;8139066.0
30/08/2023;8121316.0
6/09/2023;8101318.0
13/09/2023;8098779.0
20/09/2023;8024090.0
27/09/2023;8002064.0
4/10/2023;7955782.0
11/10/2023;7952054.0
18/10/2023;7933162.0
25/10/2023;7907830.0
1/11/2023;7866664.0
8/11/2023;7860691.0
15/11/2023;7814991.0
22/11/2023;7810814.0
29/11/2023;7796145.0
6/12/2023;7737385.0
13/12/2023;7739566.0
20/12/2023;7724063.0
27/12/2023;7712781.0
3/01/2024;7681024.0
10/01/2024;7686710.0
17/01/2024;7673741.0
24/01/2024;7677230.0
31/01/2024;7630124.0
7/02/2024;7631300.0
14/02/2024;7633874.0
21/02/2024;7581683.0
28/02/2024;7567807.0
6/03/2024;7538857.0
13/03/2024;7541969.0
20/03/2024;7514348.0
27/03/2024;7484739.0
3/04/2024;7439558.0
10/04/2024;7438176.0
17/04/2024;7405506.0
24/04/2024;7402434.0
1/05/2024;7362474.0
8/05/2024;7353408.0
15/05/2024;7304272.0
22/05/2024;7299566.0
29/05/2024;7284319.0
5/06/2024;7255687.0
12/06/2024;7258974.0
19/06/2024;7252542.0
26/06/2024;7231163.0
3/07/2024;7221520.0
10/07/2024;7224079.0
17/07/2024;7208247.0
24/07/2024;7205455.0
31/07/2024;7178391.0
